M/Ms,R/Rs,Period,t (yrs),Mdot (g/s),Jdot (gcm^2/s^2),B0,"Last open fieldline, Sm",L,Kappa
0.2999986126409152,1.9441322856483298,1.0,691013.7896593848,-435150018786985.0,-3.4455021456822207e+33,1000,0.42073524436479726,7.330695795076502,0.48639119708266426
0.2999984559785854,1.7782029571740114,1.0,830155.505027598,-71048301072279.19,-4.939894010417999e+32,1000,0.36935006820851424,8.352011956794335,0.3288849199281508
0.29999839975063086,1.6274917701277773,1.0,1012416.4523806917,-19467273517810.61,-1.2448208647689237e+32,1000,0.3360389456176162,9.131357897293041,0.2516579961999783
0.29999838126338085,1.4956326165465013,1.0,1238364.1712055502,-5163103410312.285,-3.050123413475446e+31,1000,0.3046733665200674,9.97695034204046,0.19294042665298142
0.2999983744993228,1.370010123470822,1.0,1543082.3684852459,-1400733134899.4583,-7.69983347625873e+30,1000,0.276460528316244,10.856545512838284,0.14974131435610327
0.2999983723795679,1.2584512904842382,1.0,1928669.3225659954,-346904389106.1108,-1.776122267308064e+30,1000,0.2490207579002323,11.852031549067512,0.11509016076774053
0.29999837172478433,1.1588695306804049,1.0,2409126.159772425,-85998295885.66179,-4.126379738915798e+29,1000,0.22430120612318089,12.9026869883366,0.08920231021973415
0.29999837149401326,1.0597946278096708,1.0,3094238.724154816,-21255233302.823257,-9.613383099992203e+28,1000,0.20205700871669266,14.01141597554369,0.06965792045942555
0.29999837143370056,0.9742214452856165,1.0,3947970.5824933564,-4457932909.124988,-1.898387881360209e+28,1000,0.1798687144453432,15.321273213862575,0.053276049436557456
0.29999837141687924,0.8980354079891935,0.8497116074974411,5018998.354437996,-991076139.4516859,-3.997508460081396e+27,1000,0.1607574388080295,16.667055645886506,0.04138471114406184
0.29999837138743235,0.8199359785589148,0.7083444872196517,6587310.823277345,-1184821598.8812685,-4.617383636405256e+27,1000,0.16644916962151815,18.081027646157445,0.044895638429438424
0.2999983713391272,0.7525475739202746,0.5966952121209087,8550631.420999847,-1552561928.8251073,-5.801935898289148e+27,1000,0.17331506950472148,19.803257159205597,0.04917197660482161
0.299998371250998,0.6880002243483488,0.498725754554424,11177879.633011142,-2116728665.3364673,-7.563378757475124e+27,1000,0.1802939164495444,21.576580136039034,0.053575180904241695
0.299998371091876,0.6284333805569636,0.4161051901858618,14646987.0391639,-2894402952.9654346,-9.862831477705017e+27,1000,0.18813936351248212,23.600868801288698,0.05860153876064472
0.29999837078090413,0.5651326455929615,0.3365002907021758,19990585.10646182,-3672262957.818017,-1.2021272034383907e+28,1000,0.1966571373131712,25.83790664827404,0.06415615725754019
0.29999837039553146,0.5210648189016958,0.2860672678925117,25245260.866636977,-4627873844.499858,-1.445642945641314e+28,1000,0.20744600198144367,28.732020935760623,0.07134231084113915
0.2999983697940572,0.4814769087505512,0.24425058397954474,31794039.72109975,-5795663932.903916,-1.7346460523233695e+28,1000,0.21631391633972483,31.161963722720312,0.0773759139780671
0.2999983687982235,0.44439104455602096,0.20807279927826747,39941049.287387416,-7713208290.981114,-2.2144360301982477e+28,1000,0.22548877843560272,33.72415718415718,0.08373789582853151
0.29999836666182444,0.4068701004531077,0.17442001761790357,52116544.02164678,-11072411634.098574,-3.04719698320629e+28,1000,0.23537414123699346,36.53854661623205,0.0907260809555818
0.29999836200319585,0.37218714948202686,0.14595119208129667,68653066.0911513,-17777078290.025097,-4.626280162149846e+28,1000,0.2469667587627251,39.908075731372335,0.0990926757318069
0.299998351894922,0.34329881148524644,0.12417373651552915,90123180.15634592,-29709073942.05646,-7.231933254433606e+28,1000,0.25948409713978404,43.62698323185837,0.1083267503939498
0.2999983322608055,0.31900109626119033,0.10721855840375982,118497745.28332481,-43664512780.91371,-1.0089904324178066e+29,1000,0.27158504599442956,47.29815961845631,0.11744223316714578
0.2999982721859284,0.29706324858664956,0.09297898838870007,181287440.0510919,-60374144413.969986,-1.3360410080391959e+29,1000,0.28323868309865424,50.90076839881692,0.12638732678109635
0.2999980325980072,0.28999636058900174,0.08860887302143146,362574880.1021838,-83395702697.05508,-1.7685917899907214e+29,1000,0.29518781169081765,54.659732381780465,0.13572009673457097
0.2999974971702332,0.28999996260110944,0.08861338786556212,725149760.2043676,-93185781730.2038,-1.947735544464119e+29,1000,0.2993713002694915,55.99168440438424,0.13902425599043275
0.29999642673289917,0.29095841768593167,0.08920474999329385,1450299520.4087353,-93149388780.7609,-1.9469941249758013e+29,1000,0.29936084006233254,55.990889015531,0.1390155178658498
0.2999943197488333,0.29500052490717493,0.0917099440930876,2900599040.8174706,-91674809754.90282,-1.9200049611429545e+29,1000,0.2987659526500932,55.806248577570194,0.13854361179643884
0.2999903711398411,0.3000295999842074,0.09488195714390138,5801198081.634941,-85901925887.50879,-1.8141483362558133e+29,1000,0.29633122631056946,55.04120288523603,0.13661810168936164
0.299983081803088,0.30162990505321635,0.09593169384208192,11602396163.269882,-79289702624.70552,-1.6916409351038494e+29,1000,0.2933621691392155,54.11789378506624,0.13427757647061345
